review_set,rank_in_set,job_id,title,company,location,is_remote,salary,application_url,overall_score,llm_recommendation,probability_of_obtaining,confidence,role_fit,current_experience_fit,transferable_capability_fit,seniority_fit,opportunity_alignment,transition_difficulty,career_upside,compensation_upside,key_strengths,missing_critical_skills,llm_reasoning,human_verdict,human_priority,human_notes,human_correction
Skip Top 20 by Score,3,job_0011,Temporary Consultant - Financial Crime Audit & Testing,Crowe,"Tampa, FL, US",No,Not specified,https://www.indeed.com/viewjob?jk=d44f5a8ed624635a,42,Skip,35%,high,45,50,75,70,40,medium,low,unknown,"Extensive experience with enterprise regulatory and procedural business self-testing (RBST & PBST) | Strong background in UAT strategy, compliance validation, and defect management for financial platforms | Proven capability in handling root-cause analysis, operational controls, and cross-functional audit environments","Formal BSA/AML regulatory compliance consulting framework experience | Deep technical knowledge of Anti-Money Laundering monitoring systems and rules | Professional certifications such as CAMS, CIA, or CISA","While the candidate has strong compliance testing and UAT experience in a fintech environment via American Express, this role is a specialized financial crime and BSA/AML audit consulting position requiring specific external regulatory frameworks and certifications like CAMS. Furthermore, the candidate is based in Gurugram, India, whereas this position is located in Tampa, FL, representing a geographical mismatch for a temporary hybrid role. The candidate's stated career objective is to pursue product management roles in fintech and B2B SaaS rather than shifting tracks into third-line financial crime auditing and consulting.",,,,
Skip Top 20 by Score,4,job_0015,Temporary Consultant - Financial Crime Audit & Testing,Crowe,"Livingston, NJ, US",No,Not specified,https://www.indeed.com/viewjob?jk=12f47b9dbca599db,42,Skip,30%,high,50,45,70,80,40,medium,low,unknown,Extensive experience with regulatory compliance testing and controls validation (RBST & PBST) | Strong background in enterprise case management and audit workflows | Robust data analysis and troubleshooting skills using SQL and Python,"BSA/AML regulatory compliance frameworks | Anti-Money Laundering (AML) independent testing experience | Professional certifications such as CAMS, CIA, or CISA","While the candidate has strong regulatory compliance testing experience and controls validation, this role specifically requires specialized BSA/AML audit expertise and professional certifications like CAMS or CIA which are absent from the CV. Furthermore, the position is a temporary consultant role located in Livingston, NJ, whereas the candidate is based in Gurugram, India, creating geographical and visa barriers. Finally, the candidate's explicit career goal is to secure Product Analyst or Associate Product Manager roles in fintech or B2B SaaS, making an internal audit/consulting role a step away from their target track.",,,,
Skip Top 20 by Score,5,job_0071,Product Manager - Omnichannel,Ria Money Transfer,"Denver, CO",No,Not specified,https://www.linkedin.com/jobs/view/4452749687,40,Skip,25%,low,75,65,80,70,70,medium,high,unknown,"Strong fintech and payments background at American Express and Amazon | Experience in digital product management, workflows, UAT, and API debugging | Cross-functional release delivery and stakeholder management experience","Full job description details for omnichannel product management | Geographic location alignment (candidate is in Gurugram, India; role is in Denver, CO)","While the candidate has strong fintech product management experience that could translate well to an omnichannel payments role, the job description is entirely missing, making a rigorous evaluation impossible. Additionally, a major geographic mismatch exists between the candidate's location in Gurugram, India, and the on-site/hybrid requirement in Denver, CO. Without confirmation of visa sponsorship or remote flexibility, this opportunity presents significant logistical hurdles.",,,,
Skip Top 20 by Score,6,job_0027,Analyst,Affirm,"Austin, TX",No,Not specified,https://www.linkedin.com/jobs/view/4444051265,40,Skip,30%,low,50,40,60,70,50,medium,medium,unknown,"5+ years of fintech and enterprise platform experience at top-tier firms like American Express and Amazon | Strong technical background including SQL, Python, API debugging, and data analytics | Extensive experience in compliance, payments, KYC, and enterprise case management workflows",Specific functional description for the Affirm Analyst role (job description is entirely absent),"Because the provided job description contains no actual text or requirements beyond a title and location, it is impossible to rigorously evaluate the candidate's specific fit for this exact position. While the candidate possesses strong fintech, analytics, and product background from American Express and Amazon, evaluating an empty job description forces complete reliance on guesswork regarding the nature of the Affirm Analyst role. Therefore, the application should be skipped or reassessed once a full job description becomes available.",,,,
Skip Top 20 by Score,7,job_0060,Product Manager- Technical II,Mastercard,"O'Fallon, MO",No,Not specified,https://www.linkedin.com/jobs/view/4451282276,40,Skip,30%,low,50,40,60,50,50,medium,medium,unknown,"5+ years of fintech, payments, and enterprise platform experience at American Express and Amazon | Strong background in enterprise case management, UAT, agile delivery, and regulatory compliance",Full job description details | Specific technical requirements for Mastercard Product Manager- Technical II role,"Evaluating this opportunity is challenging because the job description is entirely absent, making it impossible to assess specific technical or domain requirements. While the candidate possesses strong enterprise fintech and payments experience from American Express, the lack of a job description combined with potential geographic and sponsorship constraints for O'Fallon, MO creates too many unknowns. Therefore, it is best to skip until a complete job description becomes available.",,,,
Skip Top 20 by Score,8,job_0090,Associate Relationship Manager,FlagStar Bank,"New York, NY, US",No,"$61,073 - $107,489 (yearly)",https://www.indeed.com/viewjob?jk=d9f59dfb0530cca5,38,Skip,25%,high,45,30,60,75,40,high,low,medium,Strong domain familiarity with KYC and compliance requirements | Enterprise stakeholder management and cross-functional bridge-building capabilities | Analytical background with exposure to process optimization and risk reporting,External commercial banking client relationship management | Private Client Group (PCG) sales and portfolio business development | Direct execution of retail/commercial banking deposits and transactions,"Tushar's CV reflects a strong background in internal product management, enterprise platforms, and compliance workflows rather than outward-facing commercial banking relationship management or sales. While he possesses relevant KYC compliance experience, the core of the role requires direct business development, portfolio sales, and private client servicing in a commercial bank setting. Pursuing this position would represent a lateral or backward pivot away from his stated goal of Product Analyst or APM roles in fintech or B2B SaaS.",,,,
Skip Top 20 by Score,9,job_0005,Complaint Analyst,Rippling,"Remote, US",Yes,Not specified,https://www.indeed.com/viewjob?jk=93ecea0c48ccb07d,38,Skip,0%,high,45,40,70,70,0,high,low,unknown,"Extensive background in enterprise case management and compliance-oriented workflows (RBST & PBST) | Strong data analysis and root cause analysis capabilities using SQL, Python, and dashboards | Direct experience in fintech platforms dealing with dispute and chargeback-adjacent workflows","US remote work authorization / location in US (candidate is based in Gurugram, India) | Familiarity with US regulatory compliance frameworks (CFPB, Reg E, UDAAP)","While the candidate possesses strong case management and root-cause analysis skills from their work at American Express and Amazon, this role requires a candidate to be based US Remote and familiar with specific US financial regulations such as CFPB, Reg E, and UDAAP. The candidate is based in Gurugram, India, and their CV does not mention US-specific regulatory compliance or US work authorization. Consequently, geographic and compliance constraints make this opportunity a complete mismatch despite transferable analytical capabilities.",,,,
Skip Top 20 by Score,10,job_0150,Technical Product Manager,Beyond Finance,"Chicago, IL",No,Not specified,https://www.linkedin.com/jobs/view/3763907161,35,Skip,15%,high,60,50,70,70,65,medium,medium,unknown,"5+ years of experience in enterprise fintech platforms, payments, compliance, and case management at American Express and Amazon | Strong technical and analytical foundation including SQL, Python, API debugging, and UAT leadership | Certified CSPO and SAFe POPM with proven experience in backlog management, user stories, and cross-functional release delivery","Full job description details absent to verify exact technical stack requirements | On-site/Hybrid location constraint in Chicago, IL (candidate is currently in Gurugram, India)","Although the candidate possesses strong transferable product management capabilities in fintech and enterprise platforms, the job description is entirely absent and the role requires an on-site or hybrid presence in Chicago, IL while the candidate is located in India. Without visa or relocation context, the geographical mismatch makes this application impractical. Furthermore, the lack of a job description prevents verifying specific technical product requirements.",,,,
Skip Top 20 by Score,11,job_0135,"BRCC Digital Product Owner- Wealth InFocus (Hybrid, NYC, Newark, NJ or Edgewood, NY)",Broadridge,"New York, NY",No,Not specified,https://www.linkedin.com/jobs/view/4454805563,35,Skip,30%,low,50,40,75,70,60,medium,high,unknown,Digital product ownership and backlog management experience | Enterprise platform experience in fintech and financial services,Wealth management domain expertise | Specific knowledge of Broadridge Wealth InFocus platforms,"The candidate has solid digital product ownership experience in fintech, but the job description is completely missing, making it impossible to verify domain-specific platform requirements like Wealth InFocus. Furthermore, the candidate's CV is based in Gurugram, India, while the role is hybrid in New York/New Jersey, presenting a major geographic and likely visa barrier. Without a JD or confirmed local authorization, this represents a low-probability application.",,,,
Skip Top 20 by Score,12,job_0033,Optimization Product Analyst,Adyen,"Chicago, IL",No,Not specified,https://www.linkedin.com/jobs/view/4451977727,35,Skip,30%,low,50,40,70,80,60,medium,high,unknown,"Fintech and payments domain exposure at American Express | Strong product analytics, SQL, Python, and dashboarding capabilities | Experience with API debugging, root-cause analysis, and workflow optimization","Adyen platform familiarity | Payments optimization specific metrics (authorization rates, routing logic) | SQL/Python depth specific to payment transaction datasets","While the candidate has relevant fintech and analytical experience, the job description is entirely missing, making it impossible to verify exact technical requirements for Adyen's optimization product analyst role. Additionally, the location constraint (Chicago, IL on-site/hybrid) presents a major geographic mismatch given the candidate is based in Gurugram, India. Without clear job details or confirmation of relocation/remote status, this represents a low-probability application.",,,,
Skip Top 20 by Score,13,job_0111,"Manager, Product Management - Anti Money Laundering Investigations",Capital One,"New York, NY",No,Not specified,https://www.linkedin.com/jobs/view/4453118950,35,Skip,20%,low,50,40,70,50,60,high,high,unknown,"Extensive background in fintech enterprise platforms, KYC automation, and dispute workflows at American Express | Strong product management capabilities including UAT leadership, backlog prioritization, PRDs, and cross-functional release delivery | Technical aptitude with SQL, Python, API debugging, and enterprise case management systems","End-to-end Anti-Money Laundering (AML) investigation product management ownership | Deep regulatory compliance expertise in AML/KYC specific to US banking standards (e.g., BSA/AML regulations) | Direct job description details to confirm specific technical and domain requirements","While the candidate has strong general fintech and KYC product management experience, the job description is completely absent, making it impossible to evaluate specific AML domain requirements or technical expectations. Additionally, the role is located in New York while the candidate is based in Gurugram, India, introducing severe geographic and sponsorship barriers. Given the lack of job description details and structural constraints, this represents a low-probability long shot.",,,,
Skip Top 20 by Score,14,job_0113,"Manager, Product Management - Anti Money Laundering Investigations",Capital One,"McLean, VA",No,Not specified,https://www.linkedin.com/jobs/view/4453121912,35,Skip,15%,high,50,45,70,60,60,high,high,unknown,"Extensive background in enterprise fintech compliance, KYC, and regulatory case management | Strong technical skills including SQL, Python, API debugging, and UAT leadership | Experience managing complex workflow platforms handling hundreds of thousands of monthly cases","End-to-end AML (Anti-Money Laundering) domain and regulatory investigation framework expertise | People management or direct manager experience | US location / work authorization for McLean, VA","The candidate has strong compliance and case management experience in fintech, but the role requires 'Manager' level product experience in Anti-Money Laundering investigations and is located on-site in McLean, VA, whereas the candidate is based in Gurugram, India. Furthermore, management titles at this level typically require direct people leadership, which is absent from the candidate's IC/Associate background. Given the location gap, missing AML domain depth, and management seniority jump, this is an unrealistic transition.",,,,
Skip Top 20 by Score,15,job_0173,"Manager, Digital Product Management",Charles Schwab,"Austin, TX",No,Not specified,https://www.linkedin.com/jobs/view/4451238678,35,Skip,15%,high,50,40,60,40,60,high,high,unknown,"5+ years in digital product management within enterprise fintech and platforms | Strong background in enterprise case management, UAT, and compliance workflows | Experience with agile delivery, stakeholder management, and technical troubleshooting","Managerial experience leading direct reports | On-site presence in Austin, TX | US work authorization/sponsorship handling","The candidate's current CV reflects an Associate level product management role with 5+ years of execution-focused experience, whereas the target job is a Manager-level position that likely requires people management and higher-level strategic ownership. Additionally, there is a geographical mismatch as the candidate is based in Gurugram, India, while the role requires on-site/hybrid work in Austin, TX. Furthermore, the job description is entirely absent, making a precise technical evaluation impossible.",,,,
Skip Top 20 by Score,16,job_0169,"Manager, Experience Strategy & Delivery (Expand)",Fashionphile,"Carlsbad, CA, US",No,"$115,000 - $150,000 (yearly)",https://www.indeed.com/viewjob?jk=199648170ff4709d,35,Skip,15%,high,60,45,75,50,55,high,medium,medium,"Strong background in problem discovery, workflow optimization, and root cause analysis across complex operational platforms | Experience managing end-to-end product delivery, UAT strategy, and cross-functional release readiness | Technical literacy including API debugging, SQL/Python dashboards, and enterprise system configurations","8+ years of progressively responsible experience (CV has 5+ years) | Direct people management and coaching experience (managing a small team) | On-site/Hybrid location in Carlsbad, CA, US (CV is based in Gurugram, India with no US work authorization stated)","While the candidate possesses strong transferable product discovery and workflow optimization skills, the role requires 8+ years of experience and direct people management, both of which exceed the candidate's 5+ years of IC-focused experience. Furthermore, there is an insurmountable geographic and logistical barrier as the job is on-site/hybrid in Carlsbad, California, while the candidate is currently based in Gurugram, India. Applying would also pull the candidate away from their stated preference for Product Analyst or Associate Product Manager roles in fintech, payments, or B2B SaaS.",,,,
Skip Top 20 by Score,17,job_0144,"Senior Product Owner, Deposits Enablement",BNY,"New York, NY",No,Not specified,https://www.linkedin.com/jobs/view/4443547145,35,Skip,15%,high,60,40,70,50,55,high,high,unknown,"Strong background in enterprise fintech platforms, payments, compliance, and case management at American Express | Certified CSPO and SAFe POPM with extensive experience in backlog grooming, user stories, and UAT leadership | Direct experience bridging business requirements, compliance, and engineering teams","Senior-level Product Ownership experience leading core banking or deposits products | Specific knowledge of deposit systems, treasury, and banking ledger infrastructure | On-site presence in New York, NY (candidate is currently based in Gurugram, India)","While the candidate has solid Agile product management experience in enterprise fintech, the role is a senior-level position specifically focused on deposits enablement in New York, whereas the candidate is an Associate-level professional based in India. Furthermore, the job description is entirely missing, making it impossible to evaluate domain-specific technical alignment for core banking deposits. The combination of geographic mismatch, seniority gap, and lack of specialized deposits experience makes this an unrealistic move at this stage.",,,,
Skip Top 20 by Score,18,job_0030,Product Analyst,Guardian Credit Union,"Prattville, AL",No,Not specified,https://www.linkedin.com/jobs/view/4453211036,35,Skip,20%,low,75,60,80,80,50,medium,low,unknown,"Product analysis and backlog management experience | Strong background in enterprise fintech platforms and compliance workflows | Data analysis skills including SQL, Python, and Power BI",Credit union domain specific systems | Local regulatory compliance for US credit unions,"While the candidate's Product Analyst background aligns functionally with the target title, the job posting lacks a detailed description and requires on-site/hybrid work in Prattville, Alabama, whereas the candidate is based in Gurugram, India. The geographic mismatch and lack of visa/relocation context make this opportunity impractical to pursue despite functional skill alignment.",,,,
Skip Top 20 by Score,19,job_0032,Decisioning Execution Analyst,Best Egg,"New Castle County, DE",No,Not specified,https://www.linkedin.com/jobs/view/4443979546,35,Skip,15%,high,60,50,70,70,50,medium,medium,unknown,"Strong background in enterprise fintech platforms, workflows, and regulatory compliance | Experience with SQL, Python, API debugging, and data analytics | UAT leadership, defect tracking, and cross-functional product delivery","Specific risk decisioning or underwriting platform execution experience | Local US working authorization or location alignment (candidate is based in Gurugram, India) | Best Egg proprietary loan decisioning systems","Although the candidate possesses relevant fintech workflow and analytics experience that transfers reasonably well to execution and decisioning roles, the geographic constraint makes this opportunity impractical. The candidate is based in Gurugram, India, while the role requires an on-site or hybrid presence in New Castle County, DE, with no indication of visa sponsorship or relocation provided in the job listing. Consequently, the probability of obtaining the role is extremely low.",,,,
Skip Top 20 by Score,20,job_0138,"Product Owner, Payments",Tyler Technologies,"Overland Park, KS",No,Not specified,https://www.linkedin.com/jobs/view/4444001375,35,Skip,20%,low,50,30,70,60,50,high,medium,unknown,"5+ years in enterprise platforms and fintech | Strong agile product management and backlog grooming background | Experience with compliance, UAT, and release readiness",Specific payment gateway or transaction processing experience | Public sector / govtech domain knowledge | Detailed job description requirements,"The job description is entirely absent, making it impossible to evaluate specific requirements for Tyler Technologies' Payments Product Owner role. While the candidate possesses strong transferable product management skills from American Express, the lack of a job description combined with potential geographic and domain discrepancies creates high uncertainty. Therefore, proceeding without job details makes this a low-probability pursuit.",,,,
Skip Random 10 Sample,1,job_0167,SENIOR PRICING MANAGER,Wild Fork,"Doral, FL, US",No,Not specified,https://www.indeed.com/viewjob?jk=609426f8d30f8f7d,15,Skip,5%,high,20,10,40,50,15,very_high,medium,unknown,"Python, SQL, and Power BI/Tableau analytical capabilities | Cross-functional stakeholder management and enterprise workflow optimization | Experience with AI-assisted feature solutioning and data-driven product decisions","Pricing strategy and pricing function ownership | Financial modeling, margin analysis, and price elasticity modeling | Cross-functional pricing governance and approval workflows | Enterprise pricing tech stack implementation (e.g., SAP, ML pricing engines)","This role is a severe mismatch for the candidate's profile, requiring 7-10 years of dedicated pricing strategy, financial modeling, and margin optimization experience which is entirely absent from the CV. While the candidate possesses general analytical and Python skills, they lack the core commercial pricing domain expertise required to build a pricing function from the ground up. Furthermore, the position is on-site/hybrid in Doral, FL, presenting a geographic and sponsorship barrier given the candidate's base in Gurugram, India.",,,,
Skip Random 10 Sample,2,job_0035,Sr Data & Insights Analyst - Data Operations,MoneyGram,"Minneapolis, MN",No,Not specified,https://www.linkedin.com/jobs/view/4453031342,35,Skip,25%,medium,45,40,60,50,40,high,medium,unknown,SQL and Python proficiency | Experience building operational dashboards via Power BI/Tableau | Fintech domain knowledge and metrics tracking,Advanced data engineering pipelines | Large-scale data infrastructure management | Dedicated data operations tooling experience,"The candidate has a product management background with data and analytics touchpoints, whereas the target role is a data operations and insights engineering function. Furthermore, the candidate is based in India while the job requires an on-site or hybrid presence in Minneapolis, MN, creating a severe location barrier. Without a detailed job description, the exact technical stack requirements remain unknown, lowering overall confidence.",,,,
Skip Random 10 Sample,3,job_0007,Temporary Consultant - Financial Crime Audit & Testing,Crowe,"Charlotte, NC, US",No,Not specified,https://www.indeed.com/viewjob?jk=e491d1c84b26bdd8,35,Skip,25%,high,50,45,65,80,40,high,low,unknown,"Strong background in enterprise fintech compliance platforms and control management | Extensive experience in UAT, regulatory self-testing (RBST/PBST), and defect tracking | Cross-functional stakeholder management and technical troubleshooting",Formal BSA/AML compliance auditing experience | Deep working knowledge of Bank Secrecy Act and financial crime regulations | Industry standard certifications like CAMS or CIA,"Although the candidate has extensive experience in fintech compliance platforms, case management, and regulatory testing (RBST/PBST) at American Express, this role specifically requires specialized consulting and internal audit experience focused on BSA/AML regulations and frameworks. Furthermore, the job is located on-site or hybrid in Charlotte, NC, whereas the candidate is based in Gurugram, India, creating a major geographic and domain-specific mismatch. Pursuing this would be a significant sideways or misaligned step away from their stated goal of Product Analyst or Associate Product Manager roles.",,,,
Skip Random 10 Sample,4,job_0185,Senior Product Manager,Canopy,"Draper, UT",No,Not specified,https://www.linkedin.com/jobs/view/4453634420,35,Skip,15%,high,60,50,70,40,50,high,high,unknown,"Strong technical background in enterprise platforms, API debugging, and SQL/Python | Extensive experience with agile delivery, user stories, acceptance criteria, and cross-functional release management | Demonstrated capability in enterprise case management and workflow optimization","Full end-to-end product ownership and roadmap strategy at a senior level | People management or direct leadership experience | Geographic proximity or willingness to relocate to Draper, UT","The candidate has a solid background as an Associate Digital Product Manager at American Express and Amazon, making them well-suited for APM or Product Analyst roles. However, jumping directly to a Senior Product Manager role is an unrealistic leap given their current mid-level title and lack of senior strategic ownership. Additionally, the role is on-site or hybrid in Draper, Utah, whereas the candidate is based in Gurugram, India, presenting a major geographical and sponsorship barrier.",,,,
Skip Random 10 Sample,5,job_0079,Product Manager - Payments,Everfit,,No,Not specified,https://www.linkedin.com/jobs/view/4451566028,30,Skip,40%,low,50,40,70,50,60,medium,medium,unknown,"5+ years of fintech and enterprise platform product experience at American Express and Amazon | Strong background in user stories, acceptance criteria, backlog prioritization, and UAT leadership | Technical skills including SQL, Python, and API debugging",Full job description details absent | Specific payments domain engineering/architecture experience beyond enterprise workflows,"The provided job description is entirely blank, making it impossible to perform a rigorous, evidence-based evaluation of the role requirements against the candidate's CV. While the candidate has relevant fintech and product management experience at American Express, evaluating an unspecified role introduces too many unknowns. Therefore, the application cannot be properly assessed.",,,,
Skip Random 10 Sample,6,job_0066,"Product Manager, Payment Optimization",Fiserv,"Berkeley Heights, NJ",No,Not specified,https://www.linkedin.com/jobs/view/4452999641,30,Skip,15%,high,50,30,70,60,60,medium,medium,unknown,"5+ years of enterprise fintech platform experience including payments and dispute workflows | Strong technical and analytical foundation with SQL, Python, API debugging, and UAT leadership","Direct product management experience in payment optimization, routing, or gateway architecture | On-site presence in Berkeley Heights, NJ (candidate is based in Gurugram, India)","Although the candidate has solid enterprise fintech and payments background, the job description is entirely absent, making specific technical alignment impossible. Furthermore, there is a critical geographic mismatch as the candidate is based in Gurugram, India, while the role requires an on-site or hybrid presence in Berkeley Heights, NJ. Therefore, the probability of obtaining this specific role is severely constrained.",,,,
Skip Random 10 Sample,7,job_0062,Technical Product Manager,Bilt,"New York, NY",No,Not specified,https://www.linkedin.com/jobs/view/4399826053,25,Skip,15%,high,50,40,60,60,50,high,medium,unknown,"5+ years of digital product management experience at American Express and Amazon | Strong background in enterprise platform solutioning, API debugging, and SQL/Python | Extensive experience with agile delivery, backlog management, and cross-functional release leadership","Comprehensive job description provided for evaluation | Technical engineering background typically required for Technical Product Manager roles | Location alignment (candidate is in Gurugram, India; role is in New York, NY)","The job description is entirely blank, making it impossible to evaluate specific technical requirements or domain alignment. Furthermore, the candidate is based in India while the role is located in New York, and a Technical Product Manager title typically requires a deeper engineering foundation than what is demonstrated in the CV. Without a job description or location/sponsorship details, this represents an impractical match.",,,,
Skip Random 10 Sample,8,job_0038,Mortgage Data Analyst,Spring EQ,"Philadelphia, PA",No,Not specified,https://www.linkedin.com/jobs/view/4441214187,35,Skip,25%,medium,45,30,70,60,40,high,medium,unknown,Strong data analysis and SQL/Python capabilities | Extensive experience with enterprise case management and compliance workflows | Proven track record in root-cause analysis and operational reporting,"Mortgage industry domain expertise | Mortgage underwriting or loan processing workflows | Specific mortgage compliance regulations (e.g., TRID, RESPA)","While the candidate possesses strong data analysis, SQL, and compliance workflow experience at American Express and Amazon, the Mortgage Data Analyst role requires specific mortgage industry domain knowledge that is entirely absent from their CV. Furthermore, the position is located in Philadelphia, PA, while the candidate is based in Gurugram, India, introducing significant geographic and potential visa sponsorship barriers. Given the lack of job description details and domain alignment, this represents an inefficient career move.",,,,
Skip Random 10 Sample,9,job_0028,Senior Product Analyst,FanDuel,"New York, NY",No,Not specified,https://www.linkedin.com/jobs/view/4451263462,25,Skip,10%,high,50,40,60,50,40,high,medium,unknown,"Product analytics and data-driven backlog prioritization using SQL and Python | Strong cross-functional stakeholder management and enterprise product delivery experience | Experience with user acceptance testing, API debugging, and release readiness","Gaming/sports betting domain knowledge | On-site presence in New York, NY | Authorization to work in the United States","Although the candidate possesses strong analytical and product capabilities from their work at American Express and Amazon, this role is located in New York, NY, while the candidate is based in Gurugram, India. The job description is entirely absent, and there is no indication of visa sponsorship or remote work availability. Consequently, the geographical and logistical barrier makes this opportunity a severe mismatch despite any functional overlap.",,,,
Skip Random 10 Sample,10,job_0175,Product Manager - Appoint,Modernize,"Austin, TX",No,Not specified,https://www.linkedin.com/jobs/view/4453722093,0,Skip,0%,high,0,0,0,0,0,very_high,low,unknown,,Job description text is completely missing,"The provided job description contains no text or requirements against which to evaluate the candidate's CV. Without any description of the role, duties, or requirements, it is impossible to determine role fit, seniority alignment, or missing skills. Therefore, the evaluation cannot proceed.",,,,
